title,loan_status,title
	debt_consolidation,Fully Paid,2
   HITEK  EQUIPMENT ,Charged Off,1
 APRILIA TUONO 1000R,Fully Paid,1
 Auto,Fully Paid,1
 Bill pay of,Charged Off,1
 Business Loan,Fully Paid,1
 CC Consolidation Loan ,Charged Off,1
 Car loan,Fully Paid,1
 Citifinancial consolidation,Fully Paid,1
 Consolidate at a lower rate,Fully Paid,1
 Credit Card Payment,Fully Paid,1
 Credit Card Refinancing,Fully Paid,1
 Credit Consolidation,Charged Off,1
 Credit card payoff,Fully Paid,1
 Debt Considation,Fully Paid,1
 Debt Consolidation,Fully Paid,6
 Debt Consolidation Loan,Charged Off,1
 Debt Consolidation Loan,Fully Paid,2
 Debt Consolidation for recent Grad.,Fully Paid,1
 Freedom,Fully Paid,1
 Freedom Loan,Charged Off,1
 Home Improvement,Fully Paid,1
 Home Improvement Loan ,Fully Paid,1
 Improving Life Loan,Fully Paid,1
 Increasing Downpayment to avoid PMI,Fully Paid,1
 J & L Credit Card Consolidation Loan,Fully Paid,1
 LG consolidation loan,Fully Paid,1
 Personal Loan,Fully Paid,2
 Personal loan,Charged Off,1
 Successful business looking to grow,Fully Paid,1
 Vacation Loan,Fully Paid,1
" Water Heater, Clothes Washer, Furnace",Fully Paid,1
 Wedding Loan,Fully Paid,1
 Wedding Loan- Sudden Budget Shortfall,Fully Paid,1
 brand new start :),Fully Paid,1
 car loan,Fully Paid,1
 consolidate,Fully Paid,1
 consolidation ,Fully Paid,1
 consolidation of bills ,Fully Paid,1
 creditcard payoff,Fully Paid,1
 debt consolidation,Charged Off,1
 debt consolidation,Fully Paid,1
 debt consolidation ,Fully Paid,1
 help my son in wedding,Fully Paid,1
 home improvement loan,Fully Paid,1
 investment loan,Fully Paid,1
 paying off ALL credit cards,Fully Paid,1
 payment,Fully Paid,1
 taxes,Fully Paid,1
 winter loan,Fully Paid,1
"""Discover"" ing I no longer want to ""Chase"" after my own tail.",Fully Paid,1
"""For those that said i couldn't""",Fully Paid,1
"""Get Out of Debt""",Fully Paid,1
"""Getting ahead on my debt"" loan",Fully Paid,1
"""HAPPY TO RETURN""",Fully Paid,1
"""Subie Loan""",Fully Paid,1
"""We've Got Your Number"" Gameshow",Fully Paid,1
"""Young Professional's"" Career Start-Up",Fully Paid,1
"""the act of combining into an integral whole""",Fully Paid,1
#1,Fully Paid,1
#2,Fully Paid,1
#NAME?,Fully Paid,1
$$,Fully Paid,1
"$10,000 Loan",Charged Off,1
"$10,000 Loan",Fully Paid,1
"$10,000 NEEDED",Fully Paid,1
"$10,000 needed for wedding",Fully Paid,1
$1000 loan,Fully Paid,1
$10K,Fully Paid,1
$10k loan for education,Fully Paid,1
"$12,000",Fully Paid,1
"$14,000 Loan",Fully Paid,1
$15K,Fully Paid,1
"$16,000 Loan Request",Fully Paid,1
$16k Loan - Med. & Dental Expenses,Fully Paid,1
"$20,000 Consolidation Loan",Fully Paid,1
