total_pymnt_inv,annual_inc,emp_title,zip_code,out_prncp,title,addr_state,total_rec_late_fee,emp_length,collection_recovery_fee,loan_amnt,dti,grade,last_credit_pull_d,loan_status,home_ownership,application_type,url,acc_now_delinq,tax_liens,total_pymnt,earliest_cr_line,term,revol_util,total_acc,pymnt_plan,pub_rec_bankruptcies,collections_12_mths_ex_med,delinq_amnt,total_rec_prncp,revol_bal,policy_code,chargeoff_within_12_mths,delinq_2yrs,total_rec_int,funded_amnt,id,verification_status,recoveries,last_pymnt_amnt,sub_grade,pub_rec,issue_d,open_acc,funded_amnt_inv,installment,purpose,out_prncp_inv,inq_last_6mths,member_id,last_pymnt_d,initial_list_status,int_rate
5833.84,24000,,860xx,0,Computer,AZ,0,10+ years,0,5000,27.65,B,16-May,Fully Paid,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1077501,0,0,5863.155187,Jan-85, 36 months,83.70%,9,n,0,0,0,5000,13648,1,0,0,863.16,5000,1077501,Verified,0,171.62,B2,0,11-Dec,3,4975,162.87,credit_card,0,1,1296599,15-Jan,f,10.65%
1008.71,30000,Ryder,309xx,0,bike,GA,0,< 1 year,1.11,2500,1,C,13-Sep,Charged Off,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1077430,0,0,1008.71,Apr-99, 60 months,9.40%,4,n,0,0,0,456.46,1687,1,0,0,435.17,2500,1077430,Source Verified,117.08,119.66,C4,0,11-Dec,3,2500,59.83,car,0,5,1314167,13-Apr,f,15.27%
3005.67,12252,,606xx,0,real estate business,IL,0,10+ years,0,2400,8.72,C,16-May,Fully Paid,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1077175,0,0,3005.666844,1-Nov, 36 months,98.50%,10,n,0,0,0,2400,2956,1,0,0,605.67,2400,1077175,Not Verified,0,649.91,C5,0,11-Dec,2,2400,84.33,small_business,0,2,1313524,14-Jun,f,15.96%
12231.89,49200,AIR RESOURCES BOARD,917xx,0,personel,CA,16.97,10+ years,0,10000,20,C,16-Apr,Fully Paid,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1076863,0,0,12231.89,Feb-96, 36 months,21%,37,n,0,0,0,10000,5598,1,0,0,2214.92,10000,1076863,Source Verified,0,357.48,C1,0,11-Dec,10,10000,339.31,other,0,1,1277178,15-Jan,f,13.49%
5632.21,36000,Veolia Transportaton,852xx,0,My wedding loan I promise to pay back,AZ,0,3 years,0,5000,11.2,A,16-Jan,Fully Paid,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1075269,0,0,5632.21,4-Nov, 36 months,28.30%,12,n,0,0,0,5000,7963,1,0,0,632.21,5000,1075269,Source Verified,0,161.03,A4,0,11-Dec,9,5000,156.46,wedding,0,3,1311441,15-Jan,f,7.90%
10110.84,47004,Southern Star Photography,280xx,0,Loan,NC,0,8 years,0,7000,23.51,C,16-May,Fully Paid,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1069639,0,0,10110.84,5-Jul, 60 months,85.60%,11,n,0,0,0,6985.61,17726,1,0,0,3125.23,7000,1069639,Not Verified,0,1313.76,C5,0,11-Dec,7,7000,170.08,debt_consolidation,0,1,1304742,16-May,f,15.96%
3939.14,48000,MKC Accounting ,900xx,0,Car Downpayment,CA,0,9 years,0,3000,5.35,E,14-Dec,Fully Paid,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1072053,0,0,3939.135294,7-Jan, 36 months,87.50%,4,n,0,0,0,3000,8221,1,0,0,939.14,3000,1072053,Source Verified,0,111.34,E1,0,11-Dec,4,3000,109.43,car,0,2,1288686,15-Jan,f,18.64%
646.02,40000,,958xx,0,Expand Business & Buy Debt Portfolio,CA,0,4 years,2.09,5600,5.55,F,12-Aug,Charged Off,OWN,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1071795,0,0,646.02,4-Apr, 60 months,32.60%,13,n,0,0,0,162.02,5210,1,0,0,294.94,5600,1071795,Source Verified,189.06,152.39,F2,0,11-Dec,11,5600,152.39,small_business,0,2,1306957,12-Apr,f,21.28%
1469.34,15000,Starbucks,774xx,0,Building my credit history.,TX,0,< 1 year,2.52,5375,18.08,B,13-Mar,Charged Off,RENT,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1071570,0,0,1476.19,4-Sep, 60 months,36.50%,3,n,0,0,0,673.48,9279,1,0,0,533.42,5375,1071570,Verified,269.29,121.45,B5,0,11-Dec,2,5350,121.45,other,0,0,1306721,12-Nov,f,12.69%
7678.02,72000,Southwest Rural metro,853xx,0,High intrest Consolidation,AZ,0,5 years,0,6500,16.12,C,15-Dec,Fully Paid,OWN,INDIVIDUAL,https://lendingclub.com/browse/loanDetail.action?loan_id=1070078,0,0,7678.017673,Jan-98, 60 months,20.60%,23,n,0,0,0,6500,4032,1,0,0,1178.02,6500,1070078,Not Verified,0,1655.54,C3,0,11-Dec,14,6500,153.45,debt_consolidation,0,2,1305201,13-Jun,f,14.65%
